"Timestamp","Your Name","Class","Index Number","I am excited about the skills I learnt during CS","I feel confident in my technical skills","I know how to work through problems when I get stumped","Learning about technology is exciting","I wish I had more opportunities to learn technical skill","I would like to own a Microbit set for my own learning","I would consider using Microbit for my future school projects ","What was your favourite part of the course?","What was your least favourite part of the course?","What could be improved?","I am interested to sign up for Computer Elective Programme (Year 2 - Year 4)"
"43179.35900940972","Hidden","1B","Hidden","5.0","4.0","4.0","4.0","5.0","4.0","Maybe","shooting game","intro","how fun the games created are","Maybe"
"43179.35933344907","Hidden","1B","Hidden","5.0","4.0","5.0","5.0","5.0","4.0","Yes","Learning about the shooting game","The end","nothing","Maybe"
"43179.35940311343","Hidden","1A","Hidden","5.0","4.0","4.0","5.0","5.0","5.0","Yes","Everything","NIL","Longer Duration","Yes"
"43179.35953519676","Hidden","1B","Hidden","3.0","3.0","1.0","1.0","1.0","1.0","Maybe","Learning how to use the game block.","Coding with loops","Lessons could be more structured.","No"
"43179.36024883101","Hidden","1B","Hidden","2.0","2.0","3.0","2.0","2.0","2.0","Maybe","The games! :PPP","the confusing parts :((((","More interesting activities should be conducted. :?","Maybe"
"43179.36058168982","Hidden","1B","Hidden","4.0","4.0","3.0","4.0","4.0","2.0","Maybe","Everything.","Nothing","NOTHING","Maybe"
"43179.36108863426","Hidden","1B","Hidden","5.0","4.0","4.0","5.0","5.0","5.0","Yes","Programming","NIL","Everything is excellent 
for the below qn, I can't sign up because I have CSP and my parents want me to continue with it.","No"
"43179.361566747684","Hidden","1A","Hidden","5.0","4.0","3.0","4.0","5.0","5.0","Maybe","The coding","Not much","NIL","Maybe"
"43179.36235915509","Hidden","1B","Hidden","4.0","5.0","3.0","5.0","5.0","3.0","Maybe","The use of the microbit to play the game I created.","Nil","We can do more practises.","No"
"43179.36252221065","Hidden","1B","Hidden","5.0","4.0","4.0","5.0","5.0","5.0","Yes","The project ","Watching people get scolded ","Nil ","Yes"
"43179.36256334491","Hidden","1B","Hidden","5.0","5.0","3.0","5.0","5.0","5.0","Yes","trying to code the microbit","Nil","more practices.","Maybe"
"43179.36274251157","Hidden","1A","Hidden","5.0","5.0","5.0","5.0","5.0","5.0","Yes","Programming the microbit","Programming the microbit","More accessories to build on the microbit.","Yes"
"43179.36283709491","Hidden","1A","Hidden","4.0","4.0","4.0","4.0","4.0","5.0","Maybe","the prentation","nil","more descriptions when teaching us the codes","Maybe"
"43179.362962280095","Hidden","1A","Hidden","5.0","4.0","4.0","5.0","5.0","5.0","Yes","Programming the shooting game","Finding out what went wrong in Microbit projects","More variety of games","Yes"
"43179.363175300925","Hidden","1A","Hidden","4.0","3.0","3.0","5.0","4.0","5.0","Maybe","Our projects","A really hard lesson","We can use our time better","Maybe"
"43179.363750578705","Hidden","1A","Hidden","4.0","3.0","3.0","3.0","3.0","3.0","Maybe","When we were working on projects.","When I could not do the project.","The project.","Maybe"
"43179.365264837965","Hidden","1A","Hidden","5.0","4.0","4.0","5.0","5.0","4.0","Yes","The creation of the flappy bird code","idk","Longer period of time of the CS","Yes"
"43179.3667658912","Hidden","1A","Hidden","2.0","5.0","5.0","2.0","3.0","5.0","Maybe","The computer","Min Jie","The computer size.","No"
"43180.333442372685","Hidden","1K","Hidden","5.0","4.0","4.0","5.0","5.0","5.0","Maybe","Programming","NIL","NIL","Maybe"
"43180.33397787037","Hidden","1L","Hidden","4.0","3.0","4.0","5.0","5.0","3.0","Maybe","Coding and decryption (Radio)","Nil","They should extend the time length of CS","Yes"
